Metric Name,Type,Description
crdb_dedicated.sys.host.net.recv.bytes,(gauge),Bytes received on all network interfaces since this process started.
crdb_dedicated.sys.host.net.send.bytes,(gauge),Bytes sent on all network interfaces since this process started.
crdb_dedicated.sys.rss,(gauge),Current process RSS
crdb_dedicated.sys.uptime,(gauge),Process uptime in seconds. Shown as second
crdb_dedicated.sysbytes,(gauge),Number of bytes in system KV pairs. Shown as byte
crdb_dedicated.syscount,(gauge),Count of system KV pairs
crdb_dedicated.timeseries.write.bytes,(count),Total size in bytes of metric samples written to disk. Shown as byte
crdb_dedicated.timeseries.write.errors,(count),Total errors encountered while attempting to write metrics to disk. Shown as error
crdb_dedicated.timeseries.write.samples,(count),Total number of metric samples written to disk
crdb_dedicated.totalbytes,(gauge),Total number of bytes taken up by keys and values including non-live data. Shown as byte
crdb_dedicated.txn.aborts,(count),Number of aborted KV transactions
crdb_dedicated.txn.commits,(count),Number of committed KV transactions (including 1PC)
crdb_dedicated.txn.commits1PC,(count),Number of committed one-phase KV transactions
crdb_dedicated.txn.durations,(distribution),KV transaction durations in nanoseconds
crdb_dedicated.txn.restarts,(distribution),Number of restarted KV transactions
crdb_dedicated.txn.restarts.serializable,(count),Number of restarts due to a forwarded commit timestamp and isolation=SERIALIZABLE
crdb_dedicated.txn.restarts.writetooold,(count),Number of restarts due to a concurrent writer committing first
crdb_dedicated.valbytes,(gauge),Number of bytes taken up by values. Shown as byte
crdb_dedicated.valcount,(gauge),Count of all values
