metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
portworx.px_volume_fs_capacity_bytes,gauge,,byte,,Total storage space in bytes as reported by the filesystem for this volume,0,portworx,volume fs capacity bytes,
portworx.px_volume_vol_read_bytes,gauge,,byte,,Number of successfully read bytes during this interval for this volume. **Deprecated**.,0,portworx,volume vol read bytes,
portworx.px_volume_vol_written_bytes,gauge,,byte,,Number of successfully written bytes during this interval for this volume. **Deprecated**.,0,portworx,volume vol written bytes,
portworx.px_volume_vol_reads,gauge,,,,Number of successfully completed read operations during this interval for this volume. **Deprecated**.,0,portworx,volume vol reads,
portworx.px_volume_vol_writes,gauge,,,,Number of successfully completed write operations during this interval for this volume. **Deprecated**.,0,portworx,volume vol writes,
portworx.px_volume_read_bytes,gauge,,byte,,Number of successfully read bytes during this interval for this volume,0,portworx,volume read bytes,
portworx.px_volume_written_bytes,gauge,,byte,,Number of successfully written bytes during this interval for this volume,0,portworx,volume written bytes,
portworx.px_volume_reads,gauge,,,,Number of successfully completed read operations during this interval for this volume,0,portworx,volume reads,
portworx.px_volume_writes,gauge,,,,Number of successfully completed write operations during this interval for this volume,0,portworx,volume writes,
portworx.px_volume_read_bytes_total,count,,byte,,Total number of successfully read bytes for this volume,0,portworx,volume read bytes,
portworx.px_volume_written_bytes_total,count,,byte,,Total number of successfully written bytes for this volume,0,portworx,volume written bytes,
portworx.px_volume_reads_total,count,,,,Total number of successfully completed read operations for this volume,0,portworx,volume reads,
portworx.px_volume_writes_total,count,,,,Total number of successfully completed write operations for this volume,0,portworx,volume writes,
portworx.px_volume_iops,gauge,,,,Number of successful completed I/O operations per second during this interval for this volume,0,portworx,volume iops,
portworx.px_volume_write_iops,gauge,,,,Average number of completed write operations per second for this volume,0,portworx,volume write iops,
portworx.px_volume_read_iops,gauge,,,,Average number of completed read operations per second for this volume,0,portworx,volume read iops,
portworx.px_volume_vol_num_sequential_writes,gauge,,,,Number of sequential write I/O operations during this interval for this volume,0,portworx,volume vol num sequential writes,
portworx.px_volume_vol_num_sequential_reads,gauge,,,,Number of sequential read I/O operations during this interval for this volume,0,portworx,volume vol num sequential reads,
